isbn,author,title,description,publication_date,pages,language,cover_image_url,genre,rating
9780230747173,Andrew Marr,The making of modern Britain : from Queen Victoria to VE Day/  Andrew Marr,"In The Making of Modern Britain, Andrew Marr paints a fascinating portrait of life in Britain during the first half of the twentieth century as the country recovered from the grand wreckage of the British Empire. Between the death of Queen Victoria and the end of the Second World War, the nation was shaken by war and peace. The two wars were the worst we had ever known and the episodes of peace among the most turbulent and surprising. As the political forum moved from Edwardian smoking rooms to an increasingly democratic Westminster, the people of Britain experimented with extreme ideas as they struggled to answer the question ‘How should we live?’ Socialism? Fascism? Feminism? Meanwhile, fads such as eugenics, vegetarianism and nudism were gripping the nation, while the popularity of the music hall soared. It was also a time that witnessed the birth of the media as we know it today and the beginnings of the welfare state. Beyond trenches, flappers and Spitfires, this is a story of strange cults and economic madness, of revolutionaries and heroic inventors, sexual experiments and raucous stage heroines. From organic food to drugs, nightclubs and celebrities to package holidays, crooked bankers to sleazy politicians, the echoes of today's Britain ring from almost every page.",2009-10-02,500,en,http://books.google.com/books/content?id=vJjyeW-DCIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,4.0
9786169108832,,28    18  .. 2555       .. 2555 /,หนังสือประมวลรัษฎากร รวมกฎหมายภาษีอากร คำพิพากษา ฎีกา มติครม. ฉบับสมบูรณ์ ประจำปี 2558 เป็นคู่มือแนวทางปฏิบัติตามกฎหมายเกี่ยวกับภาษีอากร ซึ่งหนังสือประมวลรัษฎากรเล่มนี้ได้รวบรวมกฎหมายแม่บท และกฎหมายที่ออกมาให้บังคับเพิ่มเติม เช่น พระราชกฤษฎีกา กฎกระทรวงประกาศ คำสั่ง ระเบียบ และคำวินิจฉัยต่าง ๆ ไว้อย่างสมบูรณ์ ซึ่งผู้ประกอบการสามารถใช้เป็นคู่มือในทางปฏิบัติเพื่อศึกษาค้นคว้าข้อมูล ต่าง ๆ เกี่ยวกับภาษีอากรได้เป็นอย่างดี หนังสือประมวลรัษฎากรเล่มนี้มีการแก้ไขเพิ่มเติม ข้อกฎหมาย หลักเกณฑ์การปฏิบัติทุกปี ซึ่งเนื้อหาจะมีผลใช้บังคับในแต่ละปีภาษีนั้นๆ ซึ่งในปีหน้าจะมีการเปลี่ยนแปลงตัวบทกฎหมายภาษีหลายข้อ อาทิ กฎหมายภาษีมูลค่าเพิ่ม ภาษีสวัสดิการ ภาษีเงินได้นิติบุคคล และระเบียบข้อปฏิบัติต่างๆ มากมาย,2013,1375,th,http://books.google.com/books/content?id=IodYDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,
9786163021977,,60    60  /,มาตรการช่วยเหลือในรูปแบบต่างๆ ด้านภาษี การปรับเงื่อนไขต่างๆ ด้านบัญชี การเงิน ผู้ได้รับผลกระทบจากไวรัสโควิด-19 ในประเทศไทย รวมถึงการช่วยเหลือเพื่อให้เกิดสภาพคล่องทางการเงิน การกู้ยืม เพื่อเยียวยาผู้ประกอบการ และประชาชน โดยมาตรการต่างๆ เหล่านี้มีผลในการทำธุรกิจ ตรวจทานการขยายสิทธิ์ รวมถึงการยื่นภาษีต่างๆ สำหรับปีภาษี 2563,2020-10-01,84,th,http://books.google.com/books/content?id=l54AEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,
9786166090116,.,88  /  .,"สำนักพิมพ์ : เช็ก, ราคาปก : 395 บาท เมื่อตอนที่ผมอายุราว 45 ปี ผมได้ทํางานในตําแหน่งกรรมการ ผู้จัดการ (Managing Director) หรือที่ใคร ๆ เรียกย่อ ๆ ว่า เอ็มดี (MD) ตอนนั้นผมได้ผ่านประสบการณ์พบปะลูกค้าต่างชาติมากว่า หลายสิบบริษัท โดยเฉพาะบริษัทใหญ่ ๆ มีชื่อเสียงของญี่ปุ่นและ อเมริกา และได้เดินทางติดต่องานต่างประเทศมากว่า 10 ประเทศเดินทางไปมากว่า 100 ครั้ง ผมรู้สึกขอบคุณในโอกาสอันดีนี้ เลย เริ่มคิดว่าเราน่าจะนําสิ่งที่เรามีมาแชร์เพื่อเป็นประโยชน์กับคนไทย ในบริษัทต่าง ๆ ในประเทศไทย ผมตระเวนไปช่วยสอนอบรมคนไทยในบริษัทลูกค้า รวมถึง บริษัทผู้ขายในเครือข่ายของบริษัทผมด้วย ขยายไปจนถึงเป็น อาจารย์พิเศษสอนกว่า 10 มหาวิทยาลัย ทั้งระดับปริญญาตรี ปริญญาโท และปริญญาเอก ในหัวข้อที่เขาอยากให้เราไปบรรยาย ขึ้นเวทีบรรยายที่ศูนย์การประชุมแห่งชาติสิริกิติ์ ไบเทค อิมแพ็ค อารีน่า ก็ไปมาแล้วหลายครั้ง หลายหัวข้อที่ผมทําได้เพราะเป็น MD ไงครับ ต้องรอบรู้ทักษะทุกเรื่อง แต่ก็พบว่า...ตอนนั้นและแม้ในตอนนี้ คนไทยส่วนใหญ่ รวมทั้งเพื่อนสมัยเรียนของผมด้วย ส่วนใหญ่เลือกทํางานกับบริษัท ต่างชาติที่มาลงทุนที่มาเปิดออฟฟิศในไทย เพราะด้วยความที่น่าจะมั่นคงกว่า น่าจะมีรายได้และสวัสดิการดีกว่าบริษัทคนไทยแต่พบว่าส่วนใหญ่นั้นเป็นใหญ่ได้เพียงตําแหน่งรองเอ็มดี หรือบาง แห่งเรียกว่าวีพี (VP : Vice President) ทําให้โอกาสได้เป็นผู้นําเต็มตัว หรือกัปตันเรือเป็นไปได้ยาก เพราะชาวต่างชาติย่อมส่งคนของเขา มาทําในตําแหน่งสูงสุดของบริษัท มองดูแล้ว....ไทยเราขาดทักษะการเป็นผู้นําตัวจริงนั่นเอง ด้วยความตระหนักในเรื่องนี้ ตอนผมอายุ 49 ปี ผมได้หาหนังสือ ที่เกี่ยวกับผู้นําที่หาได้ทั้งภาษาไทย อังกฤษ และญี่ปุ่น แต่ไม่มี ของจริงที่อ่านแล้วใช่ ผมจึงต้องทําเอง โดยรวบรวมทักษะทั้งหมด ที่มีที่เคยไปบรรยายไว้มาหลายที่นั้น พร้อมกับมานั่งสมาธิมองดูว่า ตัวเองที่มายืนเป็น MD อยู่ตรงนี้ได้ ก็เพราะมีทักษะอะไรบ้าง และไหน ๆ ก็จะเขียนแล้ว ก็อยากเขียนให้เป็นตํานานไม่ใช่แค่ผู้นํา แต่เป็นผู้นําเหนือผู้นํา หรือ Beyond Leader นั่นเอง แต่พออายุ 50 ปี เหมือนมีตาที่สามเปิดรับสัมผัสพลังได้ รู้ว่าพลังหินธรรมชาติใดจะช่วยเสริมในแต่ละทักษะได้ และผมเน้นย้ํา ถ้าอยากเป็นผู้ตาม อยากมีคนต่างชาติเป็น ผู้นํา อยู่ไปตามยถากรรม ก็อย่าเสียเวลาอ่านนะครับ เพราะอยาก ให้มีคนไทยเป็นผู้นําเหนือผู้นํา เป็นผู้นําไร้เทียมทานที่นําประเทศ เราไปสู่เวทีโลกได้อย่างสบายครับ ดูหนังสือเรื่องอื่นๆ ของเรา ได้ที่ www.phetpraguy.com",,416,th,http://books.google.com/books/content?id=m2b2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,
9789041194237,,A level law.,"Derived from the renowned multi-volume International Encyclopaedia of Laws, this practical analysis of the law of property in Taiwan deals with the issues related to rights and interests in all kinds of property and assets’ immovable, movable, and personal property; how property rights are acquired; fiduciary mechanisms; and security considerations. Lawyers who handle transnational disputes and other matters concerning property will appreciate the explanation of specific terminology, application, and procedure. An introduction outlining the essential legal, cultural, and historical considerations affecting property is followed by a discussion of the various types of property. Further analysis describes how and to what extent legal subjects can have or obtain rights and interests in each type. The coverage includes tangible and intangible property, varying degrees of interest, and the various ways in which property is transferred, including the ramifications of appropriation, expropriation, and insolvency. Facts are presented in such a way that readers who are unfamiliar with specific terms and concepts in varying contexts will fully grasp their meaning and significance. The book includes ample references to doctrine and cases, as well as to relevant international treaties and conventions. Its succinct yet scholarly nature, as well as the practical quality of the information it provides, make this book a valuable time-saving tool for any practitioner faced with a property-related matter. Lawyers representing parties with interests in Taiwan will welcome this very useful guide, and academics and researchers will appreciate its value in the study of comparative property law.",2017-09-08,194,en,http://books.google.com/books/content?id=zI2WDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Law,
9781350190900,Watchtower Bible and Tract Society of New York,All Scripture Is Inspires of God and Beneficial/  Watchtower Bible and Tract Society of New York,"What would happen if I accepted an invitation to Bible Study from Jehovah's Witnesses? What would attending a Kingdom Hall meeting involve? And if I invited door-knocking Witnesses into my home? This book introduces Jehovah's Witnesses without assuming prior knowledge of the Watch Tower organization. After outlining the Society's origins and history, the book explains their key beliefs and practices by taking the reader through the process of the seeker who makes initial contact with Witnesses, and progresses to take instruction and become a baptized member. The book then explores what is involved in being a Witness – congregational life, lifestyle, rites of passage, their understanding of the Bible and prophetic expectations. It examines the various processes and consequences of leaving the organization, controversies that have arisen in the course of its history, and popular criticisms. Discussion is given to the likelihood of reforms within the organization, such as its stance on blood transfusions, the role of women and new methods of meeting and evangelizing in response to the COVID-19 pandemic.",2022-01-27,209,en,http://books.google.com/books/content?id=EslQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion,
4770027974,Jeffrey G. Garrison,Body language /  Jeffrey G. Garrison,Kodanshas Dictionary of Basic Japanese Idioms is a Kodansha International publication.,2002,680,en,http://books.google.com/books/content?id=mQ5gyagWePMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Foreign Language Study,
STANFORD:36105063604594,Dean Keith Fueroghne,But the people in legal said--:  a guide to current legal issues in advertising /  Dean Keith Fueroghne,,1987,528,en,http://books.google.com/books/content?id=JTQ5AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Law,
9780698197664,Anthony Cave Brown,C:  the secret life of Sir Stewart Graham Menzies Spymaster to Winston Churchill /  Anthony Cave Brown,"International bestseller! James Bond has nothing on Dusko Popov. a double agent for the Abwehr, MI5 and MI6, and the FBI during World War II, Popov seduced numerous women, spoke five languages, and was a crack shot, all while maintaining his cover as a Yugoslavian diplomat… On a cool August evening in 1941, a Serbian playboy created a stir at Casino Estoril in Portugal by throwing down an outrageously large baccarat bet to humiliate his opponent. The Serbian was a British double agent, and the money―which he had just stolen from the Germans―belonged to the British. From the sideline, watching with intent interest was none other than Ian Fleming… The Serbian was Dusko Popov. As a youngster, he was expelled from his London prep school. Years later he would be arrested and banished from Germany for making derogatory statements about the Third Reich. When World War II ensued, the playboy became a spy, eventually serving three dangerous masters: the Abwehr, MI5 and MI6, and the FBI. On August 10, 1941, the Germans sent Popov to the United States to construct a spy network and gather information on Pearl Harbor. The FBI ignored his German questionnaire, but J. Edgar Hoover succeeded in blowing his cover. While MI5 desperately needed Popov to deceive the Abwehr about the D-Day invasion, they assured him that a return to the German Secret Service Headquarters in Lisbon would result in torture and execution. He went anyway... Into the Lion’s Mouth is a globe-trotting account of a man’s entanglement with espionage, murder, assassins, and lovers―including enemy spies and a Hollywood starlet. It is a story of subterfuge and seduction, patriotism, and cold-blooded courage. It is the story of Dusko Popov―the inspiration for James Bond. INCLUDES PHOTOGRAPHS",2016-06-14,386,en,http://books.google.com/books/content?id=M722CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,
4990311132,Institute of Internatinal Relations,"Challenges for a new world order:  monism principle of reciprocity, pluralism; : the fusion of global cultures, the immanence of creation and conflict /  Institute of Internatinal Relations",,2005,260,en,,,
